match_date_time,garment_sku,location_id
2025-04-16 12:12:04,WRJV1P0XL,R3C71-N-DT1
2025-04-16 12:12:08,WRJV1P00S,R3C71-N-CT1
2025-04-16 12:12:11,WRJV1P00M,R3C71-N-CT2
2025-04-16 16:39:54,WRJV1P00L,R3C71-N-CT3
2025-04-16 12:04:12,WRJV1N2XL,R3B71-S-DT2
2025-04-16 13:40:29,WRJV1N2XL,R3G73-N-DT2
2025-04-16 12:04:16,WRJV1N0XL,R3B71-S-DT1
2025-04-16 13:40:33,WRJV1N0XL,R3G73-N-DT1
2025-04-16 12:04:19,WRJV1N00S,R3B71-S-CT1
2025-04-16 13:40:36,WRJV1N00S,R3G73-N-CT1
2025-04-16 12:04:23,WRJV1N00M,R3B71-S-CT2
2025-04-16 13:40:40,WRJV1N00M,R3G73-N-CT2
2025-04-16 12:04:26,WRJV1N00L,R3B71-S-CT3
2025-04-16 13:40:43,WRJV1N00L,R3G73-N-CT3
2025-04-16 12:17:51,WRJV1B2XL,R3G73-S-DT2
2025-04-16 12:17:54,WRJV1B0XL,R3G73-S-DT1
2025-04-16 12:17:57,WRJV1B00S,R3G73-S-CT1
2025-04-16 12:18:01,WRJV1B00M,R3G73-S-CT2
2025-04-16 12:18:04,WRJV1B00L,R3G73-S-CT3
2025-04-16 12:05:14,WRJV0R2XL,R3C71-S-BT2
2025-04-16 12:05:17,WRJV0R0XL,R3C71-S-BT1
2025-04-16 12:05:21,WRJV0R00S,R3C71-S-AT1
2025-04-16 12:05:24,WRJV0R00M,R3C71-S-AT2
2025-04-16 12:05:28,WRJV0R00L,R3C71-S-AT3
2025-04-16 14:12:04,WOFV9L2XL,R3B77-S-BT2
2025-04-16 14:12:08,WOFV9L0XL,R3B77-S-BT1
2025-04-16 14:12:11,WOFV9L00S,R3B77-S-AT1
2025-04-16 14:12:15,WOFV9L00M,R3B77-S-AT2
2025-04-16 14:12:18,WOFV9L00L,R3B77-S-AT3
2025-04-16 14:11:42,WOFV7C2XL,R3B77-S-DT2
2025-04-16 14:11:46,WOFV7C0XL,R3B77-S-DT1
2025-04-16 14:11:50,WOFV7C00S,R3B77-S-CT1
2025-04-16 14:11:54,WOFV7C00M,R3B77-S-CT2
