Timestamp,SKU,Location
2025-04-05 00:36:14,SPCY1B00M,R2Q45-S-AD1
2025-04-05 00:36:12,SPCY1B00L,R2Q45-S-AD2
2025-04-05 00:36:10,SPCY1B0XL,R2Q45-S-BD1
2025-04-05 00:36:08,SPCY3Z00M,R2Q45-S-BD2
2025-04-05 00:36:07,SPCY3Z00S,R2Q45-S-CD2
2025-04-05 00:36:05,SPCY3Z00L,R2Q45-S-CD1
2025-04-05 00:36:03,SPCY3Z0XL,R2Q45-S-DD1
2025-04-05 00:36:02,SPCY1N2XL,R2Q45-S-DD2
2025-04-05 00:35:59,SPCY1N3XL,R2P45-S-AD1
2025-04-05 00:35:58,SPCY3Z3XL,R2P45-S-AD2
2025-04-05 00:35:56,SPCY3Z2XL,R2P45-S-BD2
2025-04-05 00:35:54,SPCY1B2XL,R2P45-S-BD1
2025-04-05 00:35:52,SPCY3J2XL,R2P45-S-DD1
2025-04-05 00:35:50,SPCY3J3XL,R2P45-S-CD1
2025-04-05 00:35:48,SPCY1B3XL,R2P45-S-CD2
2025-04-05 00:35:46,SPCY0D00S,R2P45-S-DD2
2025-04-05 00:35:42,SPCY0D00M,R2O45-S-AD1
2025-04-05 00:35:39,SPCY0D00M,R2O45-S-AD2
2025-04-05 00:35:36,SPCY0D0XL,R2O45-S-BD2
2025-04-05 00:35:35,SPCY0D00L,R2O45-S-BD1
2025-04-05 00:35:33,SPCY1Q0XL,R2O45-S-DD2
2025-04-05 00:35:31,SPCY1Q00L,R2O45-S-DD1
2025-04-05 00:35:30,SPCY1Q00S,R2O45-S-CD1
2025-04-05 00:35:28,SPCY1Q00M,R2O45-S-CD2
2025-04-05 00:35:26,SPCR1R00S,R2N45-S-AD2
2025-04-05 00:35:24,EMPTY,R2N45-S-AD1
2025-04-05 00:35:21,EMPTY,R2N45-S-DD2
2025-04-05 00:35:20,EMPTY,R2N45-S-DD1
2025-04-05 00:35:18,EMPTY,R2N45-S-CD1
2025-04-05 00:35:16,SPMS1U00M,R2N45-S-CD2
2025-04-05 00:35:07,SPMS1U0XL,R2M45-N-AD2
2025-04-05 00:35:05,SPMS1U00L,R2M45-N-BD2
2025-04-05 00:34:59,EMPTY,R2M45-N-BD1
2025-04-05 00:34:55,EMPTY,R2N45-N-CD2
2025-04-05 00:34:54,EMPTY,R2N45-N-CD1
2025-04-05 00:34:52,EMPTY,R2N45-N-DD1
2025-04-05 00:34:50,SPCY4E00S,R2N45-N-DD2
2025-04-05 00:34:48,SPCY4E00M,R2O45-N-AD1
2025-04-05 00:34:46,SPCY4E0XL,R2O45-N-AD2
2025-04-05 00:34:44,SPCY4E00L,R2O45-N-BD2
2025-04-05 00:34:43,SPCY7C00S,R2O45-N-BD1
2025-04-05 00:34:42,SPCY7C00L,R2O45-N-CD1
2025-04-05 00:34:41,SPCY7C00M,R2O45-N-DD1
2025-04-05 00:34:39,SPCY7C0XL,R2O45-N-CD2
2025-04-05 00:34:38,SPCY0D3XL,R2O45-N-DD2
2025-04-05 00:34:35,SPCY0D3XL,R2P45-N-AD2
2025-04-05 00:34:28,SPCY1Q2XL,R2P45-N-AD1
2025-04-05 00:34:25,SPCY1Q3XL,R2P45-N-BD1
2025-04-05 00:34:19,SPCY1Q3XL,R2P45-N-BD2
2025-04-05 00:34:15,SPCY4E2XL,R2P45-N-CD2
2025-04-05 00:34:13,SPCY7C2XL,R2P45-N-CD1
2025-04-05 00:34:12,SPCY7C3XL,R2P45-N-DD1
2025-04-05 00:34:10,SPCY3J00S,R2P45-N-DD2
2025-04-05 00:34:07,SPCY3J00M,R2Q45-N-AD1
2025-04-05 00:34:05,SPCY3J0XL,R2Q45-N-AD2
2025-04-05 00:34:02,SPCY3J00L,R2Q45-N-BD2
2025-04-05 00:34:00,SPCY3J00L,R2Q45-N-BD1
