Timestamp,SKU,Location
2025-04-04 23:21:17,CSSTZ44XL,R2O71-N-DD1
2025-04-04 23:21:15,CSSTZ43XL,R2O71-N-CD2
2025-04-04 23:21:12,CSSTZ42XL,R2O71-N-CD1
2025-04-04 23:20:15,CSST5W0XL,R2N71-N-BD2
2025-04-04 23:20:14,CSST5W00L,R2N71-N-BD1
2025-04-04 23:20:09,CSST5W00M,R2N71-N-AD2
2025-04-04 23:20:07,CSST5W00S,R2N71-N-AD1
2025-04-04 23:20:03,CSST6I5XL,R2M71-N-DD2
2025-04-04 23:20:02,CSST6I4XL,R2M71-N-DD1
2025-04-04 23:19:59,CSST6I3XL,R2M71-N-CD2
2025-04-04 23:19:57,CSST6I2XL,R2M71-N-CD1
2025-04-04 23:19:53,CSST6I0XL,R2M71-N-BD2
2025-04-04 23:19:52,CSST6I00L,R2M71-N-BD1
2025-04-04 23:19:50,CSST6I00M,R2M71-N-AD2
2025-04-04 23:19:48,CSST6I00S,R2M71-N-AD1
2025-04-04 23:19:36,YORT4W0XL,R2M73-S-DT2
2025-04-04 23:19:33,YORT4W0XL,R2M73-S-DT2
2025-04-04 23:19:32,YORT4W00L,R2M73-S-DT1
2025-04-04 23:19:30,YORT4W00M,R2M73-S-CT3
2025-04-04 23:19:29,YORT4W00S,R2M73-S-CT2
2025-04-04 23:19:27,YORT4W0XS,R2M73-S-CT1
2025-04-04 23:19:15,YORT1R0XL,R2N73-S-DT2
2025-04-04 23:19:13,YORT1R00L,R2N73-S-DT1
2025-04-04 23:19:11,YORT1R00M,R2N73-S-CT3
2025-04-04 23:19:09,YORT1R00S,R2N73-S-CT2
2025-04-04 23:19:08,YORT1R0XS,R2N73-S-CT1
2025-04-04 23:19:03,YORT6Y0XL,R2N73-S-BT2
2025-04-04 23:19:02,YORT6Y00L,R2N73-S-BT3
2025-04-04 23:18:54,YORT6Y0XL,R2N73-S-BT2
2025-04-04 23:18:52,YORT6Y00L,R2N73-S-BT1
2025-04-04 23:18:48,YORT6Y00M,R2N73-S-AT3
2025-04-04 23:18:43,YORT6Y00S,R2N73-S-AT2
2025-04-04 23:18:42,YORT6Y00S,R2N73-S-AT2
2025-04-04 23:18:41,YORT6Y0XS,R2N73-S-AT1
