Timestamp,SKU,Location
2025-04-04 19:19:19,WOBF3K00S,R2B69-S-CT1
2025-04-04 19:19:18,WOBF3K00M,R2B69-S-CT2
2025-04-04 19:19:17,WOBF3K0XS,R2B69-S-CT3
2025-04-04 19:19:15,WOBF3K2XL,R2B69-S-DT3
2025-04-04 19:19:13,WOBF3K0XL,R2B69-S-DT2
2025-04-04 19:19:12,WOBF3K00L,R2B69-S-DT1
2025-04-04 19:19:08,WOBF5I00S,R2C69-S-AT1
2025-04-04 19:19:06,WOBF5I00M,R2C69-S-AT2
2025-04-04 19:19:05,EMPTY,R2C69-S-AT3
2025-04-04 19:19:03,WOBF5I2XL,R2C69-S-BT3
2025-04-04 19:19:02,WOBF5I0XL,R2C69-S-BT2
2025-04-04 19:19:01,WOBF5I00L,R2C69-S-BT1
2025-04-04 19:18:59,WOBF3J00S,R2C69-S-CT1
2025-04-04 19:18:58,WOBF3J00M,R2C69-S-CT2
2025-04-04 19:18:56,EMPTY,R2C69-S-CT3
2025-04-04 19:18:54,WOBF3J2XL,R2C69-S-DT3
2025-04-04 19:18:53,WOBF3J0XL,R2C69-S-DT2
2025-04-04 19:18:51,WOBF3J00L,R2C69-S-DT1
2025-04-04 19:18:49,EMPTY,R2D69-S-AT3
2025-04-04 19:18:47,WOBF1K00M,R2D69-S-AT2
2025-04-04 19:18:46,WOBF1K00S,R2D69-S-AT1
2025-04-04 19:18:40,WOBF1K0XL,R2D69-S-BT2
2025-04-04 19:18:02,WOBF1K2XL,R2D69-S-BT3
2025-04-04 19:17:54,WOBF1K00L,R2D69-S-BT1
2025-04-04 19:17:51,EMPTY,R2D69-S-CT1
2025-04-04 19:17:48,EMPTY,R2D69-S-CT3
2025-04-04 19:17:47,EMPTY,R2D69-S-CT2
2025-04-04 19:17:46,EMPTY,R2D69-S-DT3
2025-04-04 19:17:44,EMPTY,R2D69-S-DT2
2025-04-04 19:17:43,EMPTY,R2D69-S-DT1
2025-04-04 19:17:40,WOBF1B00S,R2E69-S-AT1
2025-04-04 19:17:39,WOBF1B00M,R2E69-S-AT2
2025-04-04 19:17:37,EMPTY,R2E69-S-AT3
2025-04-04 19:17:34,WOBF1B2XL,R2E69-S-BT3
2025-04-04 19:17:33,WOBF1B0XL,R2E69-S-BT2
2025-04-04 19:17:31,WOBF1B00L,R2E69-S-BT1
2025-04-04 19:17:30,WOBF1Y00S,R2E69-S-CT1
2025-04-04 19:17:28,WOBF1Y00M,R2E69-S-CT2
2025-04-04 19:17:27,EMPTY,R2E69-S-CT3
2025-04-04 19:17:25,WOBF1Y2XL,R2E69-S-DT3
2025-04-04 19:17:24,WOBF1Y0XL,R2E69-S-DT2
2025-04-04 19:17:23,WOBF1Y00L,R2E69-S-DT1
2025-04-04 19:17:20,WOBF5Q00S,R2E67-N-AT1
2025-04-04 19:17:18,WOBF5Q00M,R2E67-N-AT2
2025-04-04 19:17:17,EMPTY,R2E67-N-AT3
2025-04-04 19:17:15,WOBF5Q2XL,R2E67-N-BT3
2025-04-04 19:17:14,WOBF5Q0XL,R2E67-N-BT2
2025-04-04 19:17:12,WOBF5Q00L,R2E67-N-BT1
2025-04-04 19:17:11,WOBF1O00S,R2E67-N-CT1
2025-04-04 19:17:09,WOBF1O00M,R2E67-N-CT2
2025-04-04 19:17:08,EMPTY,R2E67-N-CT3
2025-04-04 19:16:54,WOBF1O2XL,R2E67-N-DT3
2025-04-04 19:16:50,WOBF1O0XL,R2E67-N-DT2
2025-04-04 19:16:42,WOBF1O00L,R2E67-N-DT1
2025-04-04 19:16:35,WOBF2L00S,R2D67-N-AT1
2025-04-04 19:16:34,WOBF2L00M,R2D67-N-AT2
2025-04-04 19:16:32,EMPTY,R2D67-N-AT3
2025-04-04 19:16:30,WOBF2L2XL,R2D67-N-BT3
2025-04-04 19:16:29,WOBF2L0XL,R2D67-N-BT2
2025-04-04 19:16:28,WOBF2L00L,R2D67-N-BT1
2025-04-04 19:16:26,WOBF1P00S,R2D67-N-CT1
2025-04-04 19:16:25,WOBF1P00M,R2D67-N-CT2
2025-04-04 19:16:24,EMPTY,R2D67-N-CT3
2025-04-04 19:16:22,WOBF1P2XL,R2D67-N-DT3
2025-04-04 19:16:16,WOBF1P0XL,R2D67-N-DT2
2025-04-04 19:16:14,WOBF1P00L,R2D67-N-DT1
2025-04-04 19:16:12,WOBF3Y00S,R2C67-N-AT1
2025-04-04 19:16:11,WOBF3Y00M,R2C67-N-AT2
2025-04-04 19:16:09,EMPTY,R2C67-N-AT3
2025-04-04 19:16:08,WOBF3Y2XL,R2C67-N-BT3
2025-04-04 19:16:06,WOBF3Y0XL,R2C67-N-BT2
2025-04-04 19:16:05,WOBF3Y00L,R2C67-N-BT1
2025-04-04 19:16:04,WOBF1N00S,R2C67-N-CT1
2025-04-04 19:16:02,WOBF1N00M,R2C67-N-CT2
2025-04-04 19:16:01,EMPTY,R2C67-N-CT3
2025-04-04 19:15:59,WOBF1N2XL,R2C67-N-DT3
2025-04-04 19:15:55,WOBF1N0XL,R2C67-N-DT2
2025-04-04 19:15:53,WOBF1N00L,R2C67-N-DT1
2025-04-04 19:15:51,WOBF0R00S,R2B67-N-AT1
2025-04-04 19:15:50,WOBF0R00M,R2B67-N-AT2
2025-04-04 19:15:48,EMPTY,R2B67-N-AT3
2025-04-04 19:15:47,WOBF0R2XL,R2B67-N-BT3
2025-04-04 19:15:46,WOBF0R0XL,R2B67-N-BT2
2025-04-04 19:15:45,WOBF0R00L,R2B67-N-BT1
2025-04-04 19:15:43,WOBF7W00S,R2B67-N-CT1
