Timestamp,SKU,Location
2025-04-04 23:17:09,NYHSZ60XL,R2Q73-N-BD2
2025-04-04 23:17:08,NYHSZ600L,R2Q73-N-BD1
2025-04-04 23:17:06,NYHSZ600M,R2Q73-N-AD2
2025-04-04 23:17:04,NYHSZ600S,R2Q73-N-AD1
2025-04-04 23:16:56,YORT1P0XL,R2P73-N-DT2
2025-04-04 23:16:54,YORT1P00L,R2P73-N-DT1
2025-04-04 23:16:52,YORT1P00M,R2P73-N-CT3
2025-04-04 23:16:50,YORT1P00S,R2P73-N-CT2
2025-04-04 23:16:48,YORT1P0XS,R2P73-N-CT1
2025-04-04 23:16:42,YORT4W0XL,R2P73-N-BT2
2025-04-04 23:16:42,YORT4W00L,R2P73-N-BT1
2025-04-04 23:16:41,YORT4W00L,R2P73-N-BT1
2025-04-04 23:16:38,YORT4W00M,R2P73-N-AT3
2025-04-04 23:16:36,YORT4W00S,R2P73-N-AT2
2025-04-04 23:16:34,YORT4W0XS,R2P73-N-AT1
2025-04-04 23:16:25,YORT1W0XL,R2O73-N-DT2
2025-04-04 23:16:23,YORT1W00L,R2O73-N-DT1
2025-04-04 23:16:20,YORT1W00M,R2O73-N-CT3
2025-04-04 23:16:19,YORT1W00S,R2O73-N-CT2
2025-04-04 23:16:13,YORT1W0XS,R2O73-N-CT1
2025-04-04 23:15:49,YORT1O0XL,R2O73-N-BT2
2025-04-04 23:15:47,YORT1O00L,R2O73-N-BT1
2025-04-04 23:15:45,YORT1O00M,R2O73-N-AT3
2025-04-04 23:15:44,YORT1O00S,R2O73-N-AT2
2025-04-04 23:15:43,YORT1O0XS,R2O73-N-AT1
2025-04-04 23:15:37,YORT1B00M,R2N73-N-AT3
2025-04-04 23:15:33,YORT1B00S,R2N73-N-AT2
2025-04-04 23:15:31,YORT1B0XS,R2N73-N-AT1
2025-04-04 23:15:30,YORT1B0XS,R2N73-N-AT1
2025-04-04 23:14:59,YORT1B00L,R2N73-N-BT1
2025-04-04 23:14:44,YORT1H00M,R2N73-N-CT3
2025-04-04 23:14:43,YORT1H00S,R2N73-N-CT2
2025-04-04 23:14:43,YORT1H00S,R2N73-N-CT2
2025-04-04 23:14:39,YORT1H0XS,R2N73-N-CT1
2025-04-04 23:14:36,YORT1H0XL,R2N73-N-DT2
2025-04-04 23:14:32,YORT1H00L,R2N73-N-DT1
2025-04-04 23:14:18,YORT1D00L,R2M73-N-BT1
2025-04-04 23:14:16,YORT1D00M,R2M73-N-AT3
2025-04-04 23:14:15,YORT1D00S,R2M73-N-AT2
2025-04-04 23:14:13,YORT1D0XS,R2M73-N-AT1
2025-04-04 23:13:54,MEHDCJ2XL,R2M75-S-AO1
2025-04-04 23:13:47,MEHDZ52XL,R2N75-S-AO1
2025-04-04 23:13:45,MEHDZ53XL,R2N75-S-BO1
2025-04-04 23:13:42,MEHDZ54XL,R2N75-S-CO1
2025-04-04 23:13:35,MEHDJ200S,R2O75-S-AO1
2025-04-04 23:13:31,MEHDJ200M,R2O75-S-BO1
2025-04-04 23:13:30,MEHDJ200M,R2O75-S-BO1
2025-04-04 23:13:28,MEHDJ200L,R2O75-S-CO1
2025-04-04 23:13:27,MEHDJ20XL,R2O75-S-DO1
2025-04-04 23:13:22,MEHDB900S,R2P75-S-AO1
2025-04-04 23:13:19,MEHDB900M,R2P75-S-BO1
2025-04-04 23:13:17,MEHDB900L,R2P75-S-CO1
2025-04-04 23:13:12,MEHDB90XL,R2P75-S-DO1
2025-04-04 23:13:04,MEHD7M4XL,R2Q75-S-CO1
2025-04-04 23:13:02,MEHD7M3XL,R2Q75-S-BO1
2025-04-04 23:12:55,MEHD7M2XL,R2Q75-S-AO1
2025-04-04 23:04:59,MEHD7M00S,R2Q75-N-AO1
2025-04-04 23:04:54,MEHDB93XL,R2P75-N-BO1
2025-04-04 23:04:52,MEHDB92XL,R2P75-N-AO1
2025-04-04 23:04:46,MEHDJ24XL,R2O75-N-CO1
2025-04-04 23:04:41,MEHDJ23XL,R2O75-N-BO1
2025-04-04 23:04:37,MEHDJ22XL,R2O75-N-AO1
2025-04-04 23:04:25,MEHDZ50XL,R2N75-N-DO1
2025-04-04 23:04:23,MEHDZ500L,R2N75-N-CO1
2025-04-04 23:04:21,MEHDZ500M,R2N75-N-BO1
2025-04-04 23:04:18,MEHDZ500S,R2N75-N-AO1
2025-04-04 23:04:14,MEHDCJ0XL,R2M75-N-DO1
2025-04-04 23:04:12,MEHDCJ00L,R2M75-N-CO1
2025-04-04 23:04:10,MEHDCJ00M,R2M75-N-BO1
2025-04-04 23:04:07,MEHDCJ00S,R2M75-N-AO1
2025-04-04 23:03:50,INMH4K0XL,R2M77-S-DO1
2025-04-04 23:03:48,INMH4K00L,R2M77-S-CO1
2025-04-04 23:03:46,INMH4K00M,R2M77-S-BO1
2025-04-04 23:03:38,INMH4K00S,R2M77-S-AO1
