Timestamp,SKU,Location
2025-04-04 23:31:12,CSST7A5XL,R2Q67-N-DD2
2025-04-04 23:31:11,CSST7A4XL,R2Q67-N-DD1
2025-04-04 23:31:09,CSST7A3XL,R2Q67-N-CD2
2025-04-04 23:31:08,CSST7A2XL,R2Q67-N-CD1
2025-04-04 23:31:06,CSST7A0XL,R2Q67-N-BD2
2025-04-04 23:31:06,CSST7A00L,R2Q67-N-BD1
2025-04-04 23:31:04,CSST7A00M,R2Q67-N-AD2
2025-04-04 23:31:03,CSST7A00S,R2Q67-N-AD1
2025-04-04 23:30:56,CSST5R4XL,R2P67-N-DD1
2025-04-04 23:30:54,CSST5R3XL,R2P67-N-CD2
2025-04-04 23:30:53,CSST5R2XL,R2P67-N-CD1
2025-04-04 23:30:51,CSST5R0XL,R2P67-N-BD2
2025-04-04 23:30:50,CSST5R00L,R2P67-N-BD1
2025-04-04 23:30:48,CSST5R00M,R2P67-N-AD2
2025-04-04 23:30:47,CSST5R00S,R2P67-N-AD1
2025-04-04 23:30:44,CSSTV45XL,R2O67-N-DD2
2025-04-04 23:30:42,CSSTV44XL,R2O67-N-DD1
2025-04-04 23:30:41,CSSTV43XL,R2O67-N-CD2
2025-04-04 23:30:40,CSSTV42XL,R2O67-N-CD1
2025-04-04 23:30:37,CSSTV40XL,R2O67-N-BD2
2025-04-04 23:30:36,CSSTV400L,R2O67-N-BD1
2025-04-04 23:30:34,CSSTV400M,R2O67-N-AD2
2025-04-04 23:30:33,CSSTV400S,R2O67-N-AD1
2025-04-04 23:30:29,CSST7C5XL,R2N67-N-DD2
2025-04-04 23:30:28,CSST7C4XL,R2N67-N-DD1
2025-04-04 23:30:26,CSST7C3XL,R2N67-N-CD2
2025-04-04 23:30:25,CSST7C2XL,R2N67-N-CD1
2025-04-04 23:30:24,CSST7C0XL,R2N67-N-BD2
2025-04-04 23:30:23,CSST7C00L,R2N67-N-BD1
2025-04-04 23:30:21,CSST7C00M,R2N67-N-AD2
2025-04-04 23:30:20,CSST7C00S,R2N67-N-AD1
2025-04-04 23:30:14,CSST2F5XL,R2M67-N-DD2
2025-04-04 23:30:13,CSST2F4XL,R2M67-N-DD1
2025-04-04 23:30:11,CSST2F3XL,R2M67-N-CD2
2025-04-04 23:30:10,CSST2F2XL,R2M67-N-CD1
2025-04-04 23:30:09,CSST2F0XL,R2M67-N-BD2
2025-04-04 23:30:08,CSST2F00L,R2M67-N-BD1
2025-04-04 23:30:06,CSST2F00M,R2M67-N-AD2
2025-04-04 23:30:04,CSST2F00S,R2M67-N-AD1
2025-04-04 23:29:24,CSST1Y4XL,R2N69-S-DD1
2025-04-04 23:29:21,CSST1Y3XL,R2N69-S-CD2
2025-04-04 23:29:20,CSST1Y2XL,R2N69-S-CD1
2025-04-04 23:29:19,CSST1Y0XL,R2N69-S-BD2
2025-04-04 23:29:17,CSST1Y00L,R2N69-S-BD1
2025-04-04 23:29:16,CSST1Y00M,R2N69-S-AD2
2025-04-04 23:29:15,CSST1Y00S,R2N69-S-AD1
